code,fish,Tonnage2015,Tonnage2016,Tonnage2017,Tonnage2018,Tonnage2019,Value2015,Value2016,Value2017,Value2018,Value2019
Portree,Total demersal,20.27,17.46,30.05,14.15,11.74,328.76,1222.57,641.44,1205.28,365.59
Portree,Total pelagic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Portree,Edible crabs,534.01,489.12,522.76,415.45,366.31,666.31,630.62,818.38,973.37,832.58
Portree,Lobsters,16.27,12.98,21.93,25.88,28.97,181.55,182.35,313.16,400.20,428.93
Portree,Nephrops,1099.28,1301.22,970.61,686.63,671.32,6613.58,6891.64,6183.39,5690.14,5886.65
Portree,Scallops,407.61,434.79,277.11,354.17,300.86,913.30,1023.68,743.05,944.20,771.78
Portree,Velvet crabs,35.38,55.85,34.00,28.20,35.22,87.43,162.07,106.45,101.83,109.35
Portree,Other shellfish,20.33,23.81,33.90,12.87,8.30,12.62,23.03,54.92,36.29,26.40
Portree,Total shellfish,2112.88,2317.78,1860.31,1523.20,1411.00,8474.79,8913.40,8219.34,8146.03,8055.69
Portree,Total landings,2133.15,2335.24,1890.36,1537.35,1422.74,8803.55,10135.96,8860.79,9351.31,8421.28
Scrabster,Blue ling,188.21,372.96,217.34,15.19,37.74,191.37,400.85,183.52,11.94,57.80
Scrabster,Bluemouth,0.56,1.99,5.70,6.88,21.44,1.24,4.84,10.32,5.24,28.73
Scrabster,Cod,1609.88,1456.62,1438.22,2636.47,2087.30,3082.72,2984.65,3312.79,6275.59,5916.89
Scrabster,Dogfish,67.52,164.26,112.93,44.28,44.41,26.25,60.82,38.40,16.19,17.50
Scrabster,Greenland halibut,172.00,35.01,48.96,8.17,31.69,422.61,108.51,132.03,21.33,92.81
Scrabster,Gurnards,115.08,149.11,61.02,185.37,299.35,53.25,61.38,30.69,77.67,103.74
Scrabster,Haddock,3910.00,3488.44,2811.10,4394.84,3494.53,5342.96,4865.27,4183.37,6386.64,5146.82
Scrabster,Hake,1572.51,3853.71,4859.25,3903.59,2963.68,5815.47,11659.56,11142.18,9029.51,6593.66
Scrabster,Lemon sole,61.69,62.91,52.54,82.96,86.60,191.87,234.68,256.15,398.90,355.82
Scrabster,Ling,593.91,899.05,966.90,1432.63,1636.48,750.73,1346.40,1579.77,2240.07,2486.46
Scrabster,Megrims,397.56,426.16,352.51,381.56,405.30,894.55,1094.05,1036.34,1122.18,1120.03
Scrabster,Monkfish,2495.17,2375.08,1743.50,1825.43,2025.97,6078.27,6496.89,4931.90,6133.73,5943.83
Scrabster,Plaice,65.10,135.58,150.76,247.91,249.00,49.96,130.80,163.87,384.54,346.76
Scrabster,Pollack,31.01,30.27,19.45,73.29,36.33,52.01,69.41,55.50,213.67,115.82
Scrabster,Saithe,1207.81,1324.01,809.95,1335.34,1197.33,972.90,1311.23,798.74,1047.25,1238.97
Scrabster,Skates and rays,87.01,85.72,82.90,120.63,174.05,74.88,80.95,98.30,113.87,129.13
Scrabster,Tusk,18.82,23.50,14.68,21.64,20.00,11.78,14.65,10.35,14.43,18.64
Scrabster,Whiting,605.90,584.75,446.59,580.61,518.05,635.20,659.23,586.83,793.65,706.74
Scrabster,Witches,31.67,27.30,21.32,35.03,44.16,23.62,28.13,21.98,33.12,52.06
Scrabster,Other demersal,497.11,660.68,302.56,61.20,71.65,575.93,939.03,388.94,253.18,330.65
Scrabster,Total demersal,13728.51,16157.11,14518.18,17393.04,15445.06,25247.56,32551.34,28961.96,34572.68,30802.87
Scrabster,Total pelagic,15.51,4.74,6.20,4.37,12.38,9.97,3.55,4.07,6.11,18.22
Scrabster,Edible crabs,2896.77,2589.42,2502.86,2283.28,2087.79,4052.76,4054.44,4654.34,6492.90,5610.43
Scrabster,Lobsters,52.86,41.82,47.57,43.68,44.56,593.32,533.98,656.05,649.68,647.75
Scrabster,Nephrops,31.49,42.67,24.28,5.98,37.48,103.13,177.46,102.22,22.13,134.50
Scrabster,Scallops,640.21,582.12,394.06,478.67,170.62,1144.84,1233.74,929.14,1233.28,421.16
Scrabster,Squid,129.34,100.07,172.21,270.55,296.76,401.84,426.50,900.71,1215.03,1352.70
Scrabster,Velvet crabs,42.85,43.55,55.26,52.27,72.35,99.60,220.71,158.14,175.12,203.23
Scrabster,Whelks,46.52,100.57,59.74,54.29,83.91,38.19,91.28,57.26,62.13,108.67
Scrabster,Other shellfish,2.59,50.77,6.91,2.38,4.21,11.66,38.85,34.28,2.61,4.51
Scrabster,Total shellfish,3842.64,3550.98,3262.88,3191.12,2797.68,6445.32,6776.96,7492.15,9852.89,8482.94
Scrabster,Total landings,17586.65,19712.84,17787.26,20588.54,18255.12,31702.85,39331.85,36458.19,44431.68,39304.02
Shetland,Catfish,64.17,59.51,55.95,84.14,84.27,97.29,106.99,102.98,157.53,163.61
Shetland,Cod,3534.93,4199.95,5035.15,6499.80,5630.10,7086.07,8737.93,11408.01,15255.54,15613.33
Shetland,Conger eels,22.52,18.83,27.19,22.01,24.32,15.20,12.39,17.21,12.05,11.12
Shetland,Gurnards,45.80,32.48,12.63,21.44,36.93,14.97,10.44,4.93,10.00,16.56
Shetland,Haddock,3349.85,4435.76,5016.99,4446.34,2973.38,4990.44,5844.93,8138.09,7624.25,5685.63
Shetland,Hake,574.74,907.16,889.37,1929.17,2504.61,871.76,1509.22,1919.34,4152.32,5784.18
Shetland,Halibut,3.76,6.46,16.26,30.69,35.25,37.51,60.52,133.71,243.23,279.34
Shetland,Lemon sole,220.36,213.44,227.14,277.15,340.51,958.37,968.02,1104.02,1325.60,1579.62
Shetland,Ling,863.63,964.38,990.59,1239.37,1644.24,1028.32,1385.05,1524.99,1878.79,2369.84
Shetland,Megrims,523.27,573.08,558.70,767.05,784.26,1402.08,1866.70,1757.00,2519.55,2652.25
Shetland,Monkfish,1635.86,2360.17,2706.80,2440.93,2256.27,4223.42,6696.27,8113.25,7929.12,7283.98
Shetland,Plaice,577.46,680.24,835.15,771.12,561.75,413.01,739.73,1097.94,1349.11,1056.65
Shetland,Pollack,114.52,87.26,99.74,120.25,196.75,236.50,206.00,268.19,346.08,612.20
Shetland,Saithe,1764.13,1773.25,1948.96,2748.60,3107.71,1477.92,1771.99,1839.33,2096.45,2914.90
Shetland,Skates and rays,216.17,215.63,213.41,261.66,264.67,197.20,245.36,250.93,265.96,240.34
Shetland,Tusk,17.14,12.73,11.52,21.20,26.18,13.96,11.99,9.76,17.19,21.03
Shetland,Whiting,2368.44,2154.09,2283.52,2723.53,3226.28,2691.50,2495.85,3033.66,3703.08,4326.35
Shetland,Witches,49.72,55.39,68.99,80.31,64.65,79.94,96.64,93.83,110.24,89.35
Shetland,Other demersal,16.71,15.95,18.72,17.18,28.58,132.43,130.75,129.50,171.97,212.03
Shetland,Total demersal,15963.21,18765.77,21016.79,24501.94,23790.72,25967.88,32896.77,40946.69,49168.08,50912.34
Shetland,Herring,13193.63,9471.04,11540.83,16718.64,10111.97,4834.66,5800.79,4576.98,6135.32,5826.48
Shetland,Mackerel,41242.55,40229.04,26443.12,24578.68,13932.23,25898.92,35224.46,24220.22,25224.38,16826.77
Shetland,Other pelagic,88.08,0.19,1.53,0.86,2.03,50.85,0.81,1.23,0.06,0.63
Shetland,Total pelagic,54524.27,49700.28,37985.48,41298.18,24046.24,30784.43,41026.06,28798.43,31359.76,22653.88
Shetland,Edible crabs,450.10,279.12,466.46,410.71,493.05,535.38,338.03,678.47,898.43,1162.62
Shetland,Lobsters,42.19,45.11,56.41,39.49,46.42,536.02,608.86,872.61,648.68,733.42
Shetland,Nephrops,2.39,2.97,7.12,21.40,25.29,14.44,19.08,40.84,103.59,106.01
Shetland,Scallops,1133.33,1130.35,1096.09,1239.86,1099.19,2240.29,2416.19,2852.71,3297.64,3255.41
Shetland,Squid,91.10,71.82,216.03,226.08,273.50,216.85,329.67,869.10,1059.23,1134.53
Shetland,Velvet crabs,137.48,117.43,127.75,94.61,158.17,424.01,349.09,414.00,378.37,510.95
Shetland,Whelks,120.36,313.07,233.37,258.74,269.54,94.19,262.22,224.55,273.62,305.87
Shetland,Other shellfish,14.28,1131.39,135.55,53.84,9.24,8.53,883.56,144.99,95.69,130.07
Shetland,Total shellfish,1991.22,3091.26,2338.78,2344.72,2374.38,4069.70,5206.70,6097.28,6755.27,7338.87
Shetland,Total landings,72478.70,71557.30,61341.05,68144.84,50211.34,60822.01,79129.52,75842.40,87283.10,80905.09
Stornoway,Skates and rays,42.92,24.54,24.65,26.01,21.63,31.09,18.44,19.78,19.96,17.37
Stornoway,Wrasses,5.57,18.34,10.84,6.69,53.59,401.18,1304.18,109.64,470.03,3596.91
Stornoway,Other demersal,100.22,110.03,183.30,77.06,47.06,132.25,139.10,260.09,122.54,89.45
Stornoway,Total demersal,148.71,152.92,218.79,109.76,122.27,564.52,1461.72,389.51,612.53,3703.74
Stornoway,Total pelagic,2.91,0.00,0.00,0.63,3.36,1.94,0.01,0.00,0.62,4.76
Stornoway,Edible crabs,777.25,1039.79,1068.09,895.34,1004.64,879.10,1181.19,1783.22,2281.95,2385.47
Stornoway,Lobsters,100.35,116.76,130.28,162.67,180.35,1016.98,1278.74,1757.38,2275.00,2476.06
Stornoway,Nephrops,1440.07,1672.93,1406.54,1123.70,1064.91,5681.94,6245.84,5899.70,5015.99,5294.03
Stornoway,Razor fish,58.68,58.59,60.90,34.54,27.98,286.12,307.78,352.86,299.07,233.98
Stornoway,Scallops,667.29,819.77,801.75,628.81,583.98,1346.87,1901.57,1958.63,1629.05,1409.80
Stornoway,Velvet crabs,244.82,260.73,244.40,202.73,278.79,637.56,733.28,1025.43,749.76,839.60
Stornoway,Other shellfish,16.60,15.28,15.94,15.04,28.01,108.33,29.58,68.66,29.46,71.12
Stornoway,Total shellfish,3305.05,3983.84,3727.90,3062.84,3168.65,9956.90,11677.98,12845.89,12280.28,12710.07
Stornoway,Total landings,3456.66,4136.75,3946.70,3173.23,3294.28,10523.36,13139.71,13235.40,12893.42,16418.56
Ullapool,Cod,35.99,60.04,89.81,267.68,240.40,81.04,123.34,184.87,632.52,708.17
Ullapool,Haddock,1271.89,1565.37,2618.14,3180.46,5284.49,1749.96,2163.86,4298.62,4842.33,8316.89
Ullapool,Hake,2907.85,2314.90,1521.97,1475.02,1311.99,9293.15,5547.35,2905.52,3034.93,2727.74
Ullapool,Ling,775.04,803.54,718.17,832.24,960.59,1147.38,1020.23,1056.87,1196.45,1493.05
Ullapool,Megrims,43.45,91.59,129.70,238.25,271.00,88.78,197.98,305.62,538.48,557.45
Ullapool,Monkfish,1042.58,1264.55,2110.96,2725.52,2334.28,2794.05,3725.05,2404.24,5338.09,6362.99
Ullapool,Saithe,112.73,152.86,192.23,374.73,287.26,104.10,150.57,211.05,285.11,278.32
Ullapool,Skates and rays,32.99,35.85,31.34,64.86,47.38,40.07,62.60,16.72,62.65,34.55
Ullapool,Tusk,13.90,43.42,29.99,10.93,26.94,11.40,33.91,21.26,9.59,24.31
Ullapool,Whiting,30.50,15.83,28.34,54.08,103.15,33.15,18.96,39.25,76.91,152.01
Ullapool,Other demersal,141.59,158.87,116.32,133.87,133.90,250.79,392.17,249.31,366.20,321.64
Ullapool,Total demersal,6408.50,6506.82,7586.98,9357.63,11001.37,15593.88,13436.02,11693.33,16383.27,20977.12
Ullapool,Total pelagic,10.16,12.70,21.45,12.42,9.11,5.29,13.78,33.08,16.20,13.55
Ullapool,Edible crabs,1054.52,1187.62,849.93,461.90,197.17,1374.58,1855.86,1706.12,1363.15,578.77
Ullapool,Lobsters,29.12,30.73,24.92,26.17,23.74,307.30,372.14,330.38,367.98,336.22
Ullapool,Nephrops,993.08,1358.89,937.21,720.98,737.63,4297.77,5120.03,3725.85,3716.09,4218.13
Ullapool,Scallops,79.79,55.50,97.40,101.43,71.63,224.72,152.44,295.55,289.55,199.17
Ullapool,Squid,95.93,37.75,375.36,297.61,271.30,254.37,190.39,1364.41,1320.37,1235.79
Ullapool,Velvet crabs,12.95,31.19,46.53,23.21,30.63,28.82,72.86,120.91,71.79,76.17
Ullapool,Whelks,137.43,229.82,267.70,263.42,245.65,120.01,224.12,274.29,297.10,297.46
Ullapool,Other shellfish,95.56,59.16,4.41,9.04,8.35,210.40,418.46,3.49,3.04,14.51
Ullapool,Total shellfish,2498.38,2990.66,2603.45,1903.75,1586.08,6817.97,8406.30,7821.01,7429.08,6956.24
Ullapool,Total landings,8917.05,9510.19,10211.88,11273.80,12596.56,22417.14,21856.10,19547.42,23828.54,27946.91
