code,fish,Tonnage2015,Tonnage2016,Tonnage2017,Tonnage2018,Tonnage2019,Value2015,Value2016,Value2017,Value2018,Value2019
Campbeltown,Razor fish,52.34,30.87,90.69,141.28,90.78,240.29,169.97,482.56,1018.71,679.68
Campbeltown,Scallops,1168.31,1293.28,944.29,618.30,709.55,2698.97,3355.55,2533.47,2217.67,1771.16
Campbeltown,Velvet crabs,182.97,214.58,255.83,174.85,192.81,374.36,513.50,743.88,606.22,432.50
Campbeltown,Whelks,46.19,116.58,130.19,87.47,128.42,41.64,94.94,121.16,102.49,144.52
Campbeltown,Other shellfish,13.06,44.15,89.04,11.00,8.48,9.25,43.67,126.53,21.12,11.48
Campbeltown,Total shellfish,4569.62,5236.79,4656.87,3777.04,4420.03,12197.62,14308.81,13908.21,13665.77,13811.23
Campbeltown,Total landings,4583.85,5269.45,4664.26,3799.51,4529.29,12241.94,14364.37,13966.17,13812.01,13976.67
Eyemouth,Total demersal,89.57,13.89,19.42,17.68,19.31,129.93,26.16,37.27,31.65,35.38
Eyemouth,Mackerel,76.18,84.47,74.53,9.85,45.47,66.93,80.75,89.41,16.11,75.99
Eyemouth,Other pelagic,0.00,0.00,1.96,0.00,0.02,,,0.03,,0.01
Eyemouth,Total pelagic,76.18,84.47,76.49,9.85,45.49,66.93,80.75,89.44,16.11,76.00
Eyemouth,Edible crabs,345.78,465.12,529.51,498.48,462.95,404.98,592.40,820.14,1013.90,1081.97
Eyemouth,Lobsters,188.86,209.60,245.97,260.04,246.88,1942.53,2380.50,3126.63,3600.33,3346.68
Eyemouth,Nephrops,1137.49,1107.05,1491.87,1663.44,1567.85,3640.58,3562.68,4565.38,4957.63,4508.24
Eyemouth,Scallops,133.23,141.95,215.08,313.94,92.64,249.31,343.36,558.12,721.88,194.73
Eyemouth,Velvet crabs,36.82,36.31,62.79,49.28,90.89,53.59,66.86,135.59,114.75,194.84
